instance 	 n 	 Gamma 	 Delta 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
1 	 10 	 3 	 2 	 2 	 4452.87 	 4453.11 	 0.0001 	 2.27 
1 	 10 	 5 	 2 	 2 	 4985.21 	 4985.21 	 0.0000 	 2.35 
1 	 10 	 7 	 0 	 2 	 5369.00 	 5369.00 	 0.0000 	 0.01 
1 	 10 	 7 	 1 	 2 	 5369.00 	 5369.00 	 0.0000 	 2.55 
1 	 10 	 7 	 2 	 2 	 5369.00 	 5369.00 	 0.0000 	 1.98 
1 	 10 	 7 	 3 	 2 	 5369.00 	 5369.00 	 0.0000 	 2.65 
2 	 10 	 3 	 2 	 2 	 3526.25 	 3526.25 	 0.0000 	 14.27 
2 	 10 	 5 	 2 	 2 	 4374.52 	 4374.52 	 0.0000 	 2.28 
2 	 10 	 7 	 0 	 2 	 4847.00 	 4847.00 	 0.0000 	 0.01 
2 	 10 	 7 	 1 	 2 	 4847.00 	 4847.00 	 0.0000 	 2.06 
2 	 10 	 7 	 2 	 2 	 4847.00 	 4847.00 	 0.0000 	 2.13 
2 	 10 	 7 	 3 	 2 	 4847.00 	 4847.00 	 0.0000 	 2.26 
3 	 10 	 3 	 2 	 2 	 4498.80 	 4499.25 	 0.0001 	 12.76 
3 	 10 	 5 	 2 	 2 	 5285.12 	 5285.12 	 0.0000 	 15.08 
3 	 10 	 7 	 0 	 2 	 5954.00 	 5954.00 	 0.0000 	 0.02 
3 	 10 	 7 	 1 	 2 	 5877.30 	 5877.30 	 0.0000 	 3.79 
3 	 10 	 7 	 2 	 2 	 5876.77 	 5877.30 	 0.0001 	 2.69 
3 	 10 	 7 	 3 	 2 	 5877.30 	 5877.82 	 0.0001 	 2.24 
4 	 10 	 3 	 2 	 2 	 4323.29 	 4323.29 	 0.0000 	 14.50 
4 	 10 	 5 	 2 	 2 	 5005.56 	 5006.01 	 0.0001 	 11.11 
4 	 10 	 7 	 0 	 2 	 5640.00 	 5640.00 	 0.0000 	 0.03 
4 	 10 	 7 	 1 	 2 	 5582.51 	 5582.51 	 0.0000 	 3.34 
4 	 10 	 7 	 2 	 2 	 5582.51 	 5582.51 	 0.0000 	 2.42 
4 	 10 	 7 	 3 	 2 	 5582.51 	 5582.51 	 0.0000 	 3.03 
5 	 10 	 3 	 2 	 2 	 4721.38 	 4721.38 	 0.0000 	 28.06 
5 	 10 	 5 	 2 	 2 	 5578.36 	 5578.36 	 0.0000 	 2.43 
5 	 10 	 7 	 0 	 2 	 6341.38 	 6342.00 	 0.0001 	 0.01 
5 	 10 	 7 	 1 	 2 	 6298.42 	 6298.42 	 0.0000 	 2.95 
5 	 10 	 7 	 2 	 2 	 6298.42 	 6298.42 	 0.0000 	 2.72 
5 	 10 	 7 	 3 	 2 	 6298.42 	 6298.42 	 0.0000 	 10.17 
6 	 10 	 3 	 2 	 2 	 5555.67 	 5555.67 	 0.0000 	 15.66 
6 	 10 	 5 	 2 	 2 	 6007.53 	 6007.53 	 0.0000 	 2.17 
6 	 10 	 7 	 0 	 2 	 6327.00 	 6327.00 	 0.0000 	 0.01 
6 	 10 	 7 	 1 	 2 	 6323.67 	 6323.67 	 0.0000 	 3.08 
6 	 10 	 7 	 2 	 2 	 6323.67 	 6323.67 	 0.0000 	 2.40 
6 	 10 	 7 	 3 	 2 	 6323.67 	 6323.67 	 0.0000 	 2.72 
7 	 10 	 3 	 2 	 2 	 4691.45 	 4691.50 	 0.0000 	 2.13 
7 	 10 	 5 	 2 	 2 	 5328.36 	 5328.36 	 0.0000 	 5.12 
7 	 10 	 7 	 0 	 2 	 5832.00 	 5832.00 	 0.0000 	 0.02 
