instance 	 n 	 Gamma 	 Delta 	 K 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
1 	 10 	 3 	 2 	 2 	 9 	  0.00 	 4463.78 	 1.0000 	 600.01 
1 	 10 	 5 	 2 	 2 	 9 	  0.00 	 4985.86 	 1.0000 	 600.01 
1 	 10 	 7 	 0 	 2 	 2 	  5369.00 	 5369.00 	 0.0000 	 0.17 
1 	 10 	 7 	 1 	 2 	 9 	  0.00 	 5369.00 	 1.0000 	 600.02 
1 	 10 	 7 	 2 	 2 	 9 	  0.00 	 5369.00 	 1.0000 	 600.01 
1 	 10 	 7 	 3 	 2 	 9 	  0.00 	 5369.00 	 1.0000 	 600.02 
2 	 10 	 3 	 2 	 2 	 9 	  0.00 	 3539.04 	 1.0000 	 600.02 
2 	 10 	 5 	 2 	 2 	 9 	  0.00 	 4380.27 	 1.0000 	 600.02 
2 	 10 	 7 	 0 	 2 	 2 	  4847.00 	 4847.00 	 0.0000 	 0.17 
2 	 10 	 7 	 1 	 2 	 9 	  0.00 	 4847.00 	 1.0000 	 600.01 
2 	 10 	 7 	 2 	 2 	 9 	  0.00 	 4847.00 	 1.0000 	 600.01 
2 	 10 	 7 	 3 	 2 	 9 	  0.00 	 4847.00 	 1.0000 	 600.01 
3 	 10 	 3 	 2 	 2 	 9 	  0.00 	 4511.49 	 1.0000 	 600.04 
3 	 10 	 5 	 2 	 2 	 9 	  0.00 	 5302.69 	 1.0000 	 600.01 
3 	 10 	 7 	 0 	 2 	 2 	  5954.00 	 5954.00 	 0.0000 	 0.53 
3 	 10 	 7 	 1 	 2 	 9 	  0.00 	 5888.49 	 1.0000 	 600.03 
3 	 10 	 7 	 2 	 2 	 9 	  0.00 	 5886.35 	 1.0000 	 600.01 
3 	 10 	 7 	 3 	 2 	 9 	  0.00 	 5886.35 	 1.0000 	 600.02 
4 	 10 	 3 	 2 	 2 	 9 	  0.00 	 4341.82 	 1.0000 	 600.02 
4 	 10 	 5 	 2 	 2 	 9 	  0.00 	 5022.17 	 1.0000 	 600.02 
4 	 10 	 7 	 0 	 2 	 2 	  5640.00 	 5640.00 	 0.0000 	 0.39 
4 	 10 	 7 	 1 	 2 	 9 	  0.00 	 5589.56 	 1.0000 	 600.02 
4 	 10 	 7 	 2 	 2 	 9 	  0.00 	 5589.57 	 1.0000 	 600.02 
4 	 10 	 7 	 3 	 2 	 9 	  0.00 	 5589.56 	 1.0000 	 600.01 
5 	 10 	 3 	 2 	 2 	 9 	  0.00 	 4734.24 	 1.0000 	 600.03 
