instance 	 p_hat 	 p_bar 
10 	 [18, 98, 33, 64, 58, 84, 27, 63, 50, 78] 	 [73, 9, 16, 98, 61, 49, 13, 4, 56, 98] 
10 	 [99, 90, 35, 30, 14, 4, 4, 70, 49, 28] 	 [1, 58, 93, 76, 41, 3, 84, 2, 88, 55] 
10 	 [93, 68, 98, 64, 30, 30, 29, 59, 3, 72] 	 [4, 29, 57, 71, 45, 87, 98, 38, 54, 83] 
10 	 [13, 81, 38, 96, 93, 65, 65, 25, 37, 64] 	 [24, 93, 16, 43, 92, 55, 86, 39, 76, 65] 
10 	 [51, 5, 32, 52, 86, 47, 90, 87, 48, 57] 	 [76, 62, 96, 54, 23, 71, 100, 95, 12, 85] 
10 	 [66, 100, 67, 48, 94, 61, 40, 79, 75, 83] 	 [14, 21, 51, 63, 4, 6, 91, 76, 51, 22] 
10 	 [22, 30, 99, 70, 30, 66, 74, 59, 85, 78] 	 [65, 2, 26, 71, 52, 45, 46, 35, 71, 94] 
10 	 [1, 95, 17, 100, 27, 8, 47, 71, 65, 63] 	 [50, 66, 67, 72, 55, 62, 73, 26, 53, 46] 
10 	 [54, 1, 70, 79, 59, 4, 82, 71, 24, 71] 	 [45, 69, 80, 43, 77, 30, 23, 75, 12, 33] 
10 	 [5, 10, 3, 2, 97, 32, 15, 24, 38, 22] 	 [87, 11, 58, 97, 36, 35, 80, 45, 9, 21] 
10 	 [33, 22, 35, 92, 59, 42, 61, 4, 50, 54] 	 [68, 85, 83, 38, 90, 64, 15, 40, 44, 25] 
10 	 [34, 33, 66, 78, 3, 3, 19, 93, 58, 65] 	 [14, 94, 27, 56, 29, 51, 5, 21, 91, 87] 
10 	 [55, 29, 89, 58, 68, 4, 87, 42, 81, 8] 	 [70, 81, 67, 29, 84, 51, 74, 85, 55, 95] 
10 	 [39, 28, 40, 10, 39, 21, 73, 17, 72, 76] 	 [17, 7, 10, 40, 96, 54, 33, 2, 5, 28] 
10 	 [73, 22, 91, 66, 49, 45, 27, 87, 76, 64] 	 [59, 100, 80, 5, 26, 13, 74, 56, 25, 14] 
10 	 [86, 38, 64, 42, 52, 3, 26, 73, 44, 28] 	 [50, 65, 3, 79, 37, 21, 42, 18, 55, 35] 
10 	 [87, 49, 45, 69, 99, 31, 93, 11, 22, 69] 	 [13, 71, 88, 63, 69, 9, 6, 18, 22, 28] 
10 	 [35, 43, 65, 48, 44, 38, 78, 92, 18, 71] 	 [98, 77, 33, 44, 15, 31, 100, 63, 75, 99] 
10 	 [14, 6, 10, 19, 44, 79, 49, 74, 29, 11] 	 [42, 53, 49, 17, 15, 76, 10, 71, 73, 35] 
10 	 [47, 73, 15, 36, 6, 2, 86, 12, 15, 25] 	 [38, 69, 59, 14, 38, 79, 2, 53, 6, 31] 
