instance 	 n 	 Gamma 	 Delta 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
1 	 10 	 3 	 2 	 2 	 4452.87 	 4452.87 	 0.0000 	 4.67 
1 	 10 	 5 	 2 	 2 	 4985.21 	 4985.21 	 0.0000 	 1.41 
1 	 10 	 7 	 0 	 2 	 5369.00 	 5369.00 	 0.0000 	 0.01 
1 	 10 	 7 	 1 	 2 	 5369.00 	 5369.00 	 0.0000 	 1.63 
1 	 10 	 7 	 2 	 2 	 5369.00 	 5369.00 	 0.0000 	 1.47 
1 	 10 	 7 	 3 	 2 	 5369.00 	 5369.00 	 0.0000 	 1.65 
2 	 10 	 3 	 2 	 2 	 3526.25 	 3526.25 	 0.0000 	 1.23 
2 	 10 	 5 	 2 	 2 	 4374.52 	 4374.52 	 0.0000 	 1.31 
2 	 10 	 7 	 0 	 2 	 4847.00 	 4847.00 	 0.0000 	 0.01 
2 	 10 	 7 	 1 	 2 	 4847.00 	 4847.00 	 0.0000 	 1.79 
2 	 10 	 7 	 2 	 2 	 4847.00 	 4847.00 	 0.0000 	 1.49 
2 	 10 	 7 	 3 	 2 	 4847.00 	 4847.00 	 0.0000 	 1.43 
3 	 10 	 3 	 2 	 2 	 4498.80 	 4499.25 	 0.0001 	 1.48 
3 	 10 	 5 	 2 	 2 	 5284.78 	 5285.12 	 0.0001 	 1.86 
3 	 10 	 7 	 0 	 2 	 5954.00 	 5954.00 	 0.0000 	 0.02 
3 	 10 	 7 	 1 	 2 	 5877.30 	 5877.30 	 0.0000 	 2.94 
3 	 10 	 7 	 2 	 2 	 5877.30 	 5877.30 	 0.0000 	 1.74 
3 	 10 	 7 	 3 	 2 	 5877.30 	 5877.68 	 0.0001 	 1.86 
4 	 10 	 3 	 2 	 2 	 4323.29 	 4323.29 	 0.0000 	 1.27 
4 	 10 	 5 	 2 	 2 	 5006.01 	 5006.01 	 0.0000 	 1.34 
4 	 10 	 7 	 0 	 2 	 5640.00 	 5640.00 	 0.0000 	 0.03 
4 	 10 	 7 	 1 	 2 	 5582.51 	 5582.51 	 0.0000 	 2.37 
4 	 10 	 7 	 2 	 2 	 5582.51 	 5582.51 	 0.0000 	 4.81 
4 	 10 	 7 	 3 	 2 	 5582.51 	 5582.51 	 0.0000 	 14.57 
5 	 10 	 3 	 2 	 2 	 4721.38 	 4721.38 	 0.0000 	 2.86 
5 	 10 	 5 	 2 	 2 	 5578.36 	 5578.36 	 0.0000 	 1.23 
5 	 10 	 7 	 0 	 2 	 6341.38 	 6342.00 	 0.0001 	 0.02 
5 	 10 	 7 	 1 	 2 	 6298.42 	 6298.42 	 0.0000 	 1.93 
5 	 10 	 7 	 2 	 2 	 6298.42 	 6298.42 	 0.0000 	 2.21 
5 	 10 	 7 	 3 	 2 	 6298.42 	 6298.97 	 0.0001 	 1.82 
6 	 10 	 3 	 2 	 2 	 5555.67 	 5555.67 	 0.0000 	 1.50 
6 	 10 	 5 	 2 	 2 	 6007.53 	 6007.53 	 0.0000 	 2.01 
6 	 10 	 7 	 0 	 2 	 6327.00 	 6327.00 	 0.0000 	 0.01 
6 	 10 	 7 	 1 	 2 	 6323.67 	 6323.67 	 0.0000 	 3.08 
6 	 10 	 7 	 2 	 2 	 6323.67 	 6323.67 	 0.0000 	 2.37 
6 	 10 	 7 	 3 	 2 	 6323.67 	 6323.67 	 0.0000 	 2.00 
7 	 10 	 3 	 2 	 2 	 4691.27 	 4691.45 	 0.0000 	 8.18 
7 	 10 	 5 	 2 	 2 	 5328.36 	 5328.36 	 0.0000 	 10.41 
7 	 10 	 7 	 0 	 2 	 5832.00 	 5832.00 	 0.0000 	 0.01 
7 	 10 	 7 	 1 	 2 	 5806.94 	 5806.94 	 0.0000 	 1.88 
7 	 10 	 7 	 2 	 2 	 5806.94 	 5806.94 	 0.0000 	 4.92 
7 	 10 	 7 	 3 	 2 	 5806.94 	 5806.94 	 0.0000 	 24.68 
8 	 10 	 3 	 2 	 2 	 3933.30 	 3933.30 	 0.0000 	 6.75 
8 	 10 	 5 	 2 	 2 	 4781.67 	 4782.06 	 0.0001 	 3.98 
8 	 10 	 7 	 0 	 2 	 5353.00 	 5353.00 	 0.0000 	 0.02 
8 	 10 	 7 	 1 	 2 	 5319.51 	 5320.01 	 0.0001 	 1.77 
8 	 10 	 7 	 2 	 2 	 5320.01 	 5320.01 	 0.0000 	 1.43 
8 	 10 	 7 	 3 	 2 	 5320.01 	 5320.01 	 0.0000 	 1.34 
9 	 10 	 3 	 2 	 2 	 3931.72 	 3931.72 	 0.0000 	 3.19 
9 	 10 	 5 	 2 	 2 	 4431.24 	 4431.24 	 0.0000 	 20.54 
9 	 10 	 7 	 0 	 2 	 4939.00 	 4939.00 	 0.0000 	 0.03 
9 	 10 	 7 	 1 	 2 	 4894.78 	 4894.78 	 0.0000 	 1.37 
9 	 10 	 7 	 2 	 2 	 4894.78 	 4894.82 	 0.0000 	 1.44 
9 	 10 	 7 	 3 	 2 	 4894.78 	 4894.78 	 0.0000 	 26.31 
10 	 10 	 3 	 2 	 2 	 2432.43 	 2432.43 	 0.0000 	 5.46 
10 	 10 	 5 	 2 	 2 	 3101.32 	 3101.55 	 0.0001 	 1.55 
10 	 10 	 7 	 0 	 2 	 3577.00 	 3577.00 	 0.0000 	 0.01 
10 	 10 	 7 	 1 	 2 	 3577.00 	 3577.00 	 0.0000 	 2.39 
10 	 10 	 7 	 2 	 2 	 3577.00 	 3577.00 	 0.0000 	 2.12 
10 	 10 	 7 	 3 	 2 	 3577.00 	 3577.00 	 0.0000 	 1.52 
11 	 10 	 3 	 2 	 2 	 3864.65 	 3864.65 	 0.0000 	 1.59 
11 	 10 	 5 	 2 	 2 	 4623.90 	 4623.90 	 0.0000 	 2.12 
11 	 10 	 7 	 0 	 2 	 5249.00 	 5249.00 	 0.0000 	 0.03 
11 	 10 	 7 	 1 	 2 	 5219.78 	 5219.78 	 0.0000 	 2.07 
11 	 10 	 7 	 2 	 2 	 5219.78 	 5219.78 	 0.0000 	 3.74 
11 	 10 	 7 	 3 	 2 	 5219.78 	 5219.78 	 0.0000 	 1.88 
12 	 10 	 3 	 2 	 2 	 3406.58 	 3406.58 	 0.0000 	 1.64 
12 	 10 	 5 	 2 	 2 	 3970.01 	 3970.01 	 0.0000 	 2.65 
12 	 10 	 7 	 0 	 2 	 4398.00 	 4398.00 	 0.0000 	 0.01 
12 	 10 	 7 	 1 	 2 	 4398.00 	 4398.00 	 0.0000 	 1.44 
12 	 10 	 7 	 2 	 2 	 4398.00 	 4398.00 	 0.0000 	 1.89 
12 	 10 	 7 	 3 	 2 	 4398.00 	 4398.00 	 0.0000 	 1.51 
13 	 10 	 3 	 2 	 2 	 4561.17 	 4561.49 	 0.0001 	 1.47 
13 	 10 	 5 	 2 	 2 	 5488.18 	 5488.18 	 0.0000 	 1.47 
13 	 10 	 7 	 0 	 2 	 6333.00 	 6333.00 	 0.0000 	 0.04 
13 	 10 	 7 	 1 	 2 	 6205.51 	 6205.51 	 0.0000 	 4.20 
13 	 10 	 7 	 2 	 2 	 6205.51 	 6205.51 	 0.0000 	 1.60 
13 	 10 	 7 	 3 	 2 	 6205.51 	 6205.51 	 0.0000 	 1.31 
14 	 10 	 3 	 2 	 2 	 3083.00 	 3083.00 	 0.0000 	 1.99 
14 	 10 	 5 	 2 	 2 	 3324.39 	 3324.39 	 0.0000 	 1.47 
14 	 10 	 7 	 0 	 2 	 3520.00 	 3520.00 	 0.0000 	 0.01 
14 	 10 	 7 	 1 	 2 	 3520.00 	 3520.00 	 0.0000 	 1.70 
14 	 10 	 7 	 2 	 2 	 3520.00 	 3520.00 	 0.0000 	 1.28 
14 	 10 	 7 	 3 	 2 	 3520.00 	 3520.00 	 0.0000 	 1.69 
15 	 10 	 3 	 2 	 2 	 4734.71 	 4734.71 	 0.0000 	 1.42 
15 	 10 	 5 	 2 	 2 	 5204.87 	 5204.87 	 0.0000 	 22.03 
15 	 10 	 7 	 0 	 2 	 5551.00 	 5551.00 	 0.0000 	 0.01 
15 	 10 	 7 	 1 	 2 	 5551.00 	 5551.00 	 0.0000 	 1.63 
15 	 10 	 7 	 2 	 2 	 5551.00 	 5551.00 	 0.0000 	 1.72 
15 	 10 	 7 	 3 	 2 	 5551.00 	 5551.00 	 0.0000 	 1.93 
16 	 10 	 3 	 2 	 2 	 3458.07 	 3458.07 	 0.0000 	 1.80 
16 	 10 	 5 	 2 	 2 	 4022.25 	 4022.25 	 0.0000 	 1.58 
16 	 10 	 7 	 0 	 2 	 4466.00 	 4466.00 	 0.0000 	 0.02 
16 	 10 	 7 	 1 	 2 	 4459.99 	 4459.99 	 0.0000 	 1.72 
16 	 10 	 7 	 2 	 2 	 4459.99 	 4459.99 	 0.0000 	 1.73 
16 	 10 	 7 	 3 	 2 	 4459.99 	 4460.16 	 0.0000 	 1.54 
17 	 10 	 3 	 2 	 2 	 4026.58 	 4026.58 	 0.0000 	 1.33 
17 	 10 	 5 	 2 	 2 	 4456.27 	 4456.27 	 0.0000 	 1.31 
17 	 10 	 7 	 0 	 2 	 4817.00 	 4817.00 	 0.0000 	 0.01 
17 	 10 	 7 	 1 	 2 	 4817.00 	 4817.00 	 0.0000 	 2.20 
17 	 10 	 7 	 2 	 2 	 4817.00 	 4817.00 	 0.0000 	 1.30 
17 	 10 	 7 	 3 	 2 	 4817.00 	 4817.00 	 0.0000 	 1.50 
18 	 10 	 3 	 2 	 2 	 4468.17 	 4468.17 	 0.0000 	 1.70 
18 	 10 	 5 	 2 	 2 	 5153.93 	 5153.93 	 0.0000 	 1.79 
18 	 10 	 7 	 0 	 2 	 5839.00 	 5839.00 	 0.0000 	 0.03 
18 	 10 	 7 	 1 	 2 	 5779.36 	 5779.36 	 0.0000 	 3.48 
18 	 10 	 7 	 2 	 2 	 5779.36 	 5779.36 	 0.0000 	 2.12 
