instance 	 n 	 Gamma 	 Delta 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
1 	 10 	 3 	 2 	 2 	 4452.87 	 4452.87 	 0.00 	 4.56 
1 	 10 	 5 	 2 	 2 	 4985.21 	 4985.21 	 0.00 	 2.04 
1 	 10 	 7 	 0 	 2 	 5369.00 	 5369.00 	 0.00 	 0.01 
1 	 10 	 7 	 1 	 2 	 5369.00 	 5369.00 	 0.00 	 1.63 
1 	 10 	 7 	 2 	 2 	 5369.00 	 5369.00 	 0.00 	 1.77 
1 	 10 	 7 	 3 	 2 	 5369.00 	 5369.00 	 0.00 	 1.74 
2 	 10 	 3 	 2 	 2 	 3526.25 	 3526.25 	 0.00 	 1.37 
2 	 10 	 5 	 2 	 2 	 4374.52 	 4374.52 	 0.00 	 1.35 
2 	 10 	 7 	 0 	 2 	 4847.00 	 4847.00 	 0.00 	 0.01 
2 	 10 	 7 	 1 	 2 	 4847.00 	 4847.00 	 0.00 	 1.46 
2 	 10 	 7 	 2 	 2 	 4847.00 	 4847.00 	 0.00 	 1.79 
2 	 10 	 7 	 3 	 2 	 4847.00 	 4847.00 	 0.00 	 1.30 
3 	 10 	 3 	 2 	 2 	 4499.25 	 4499.25 	 0.00 	 1.37 
3 	 10 	 5 	 2 	 2 	 5285.12 	 5285.12 	 0.00 	 1.59 
3 	 10 	 7 	 0 	 2 	 5954.00 	 5954.00 	 0.00 	 0.03 
3 	 10 	 7 	 1 	 2 	 5877.21 	 5877.30 	 0.00 	 2.74 
3 	 10 	 7 	 2 	 2 	 5877.30 	 5877.30 	 0.00 	 1.79 
3 	 10 	 7 	 3 	 2 	 5877.30 	 5877.30 	 0.00 	 1.90 
4 	 10 	 3 	 2 	 2 	 4323.29 	 4323.29 	 0.00 	 1.32 
4 	 10 	 5 	 2 	 2 	 5006.01 	 5006.01 	 0.00 	 2.14 
4 	 10 	 7 	 0 	 2 	 5640.00 	 5640.00 	 0.00 	 0.03 
4 	 10 	 7 	 1 	 2 	 5582.51 	 5582.51 	 0.00 	 2.69 
4 	 10 	 7 	 2 	 2 	 5582.51 	 5582.51 	 0.00 	 9.46 
4 	 10 	 7 	 3 	 2 	 5582.51 	 5582.51 	 0.00 	 13.28 
5 	 10 	 3 	 2 	 2 	 4721.38 	 4721.38 	 0.00 	 1.81 
5 	 10 	 5 	 2 	 2 	 5578.36 	 5578.36 	 0.00 	 1.24 
5 	 10 	 7 	 0 	 2 	 6342.00 	 6342.00 	 0.00 	 0.03 
5 	 10 	 7 	 1 	 2 	 6298.42 	 6298.42 	 0.00 	 1.83 
5 	 10 	 7 	 2 	 2 	 6298.42 	 6298.42 	 0.00 	 1.51 
5 	 10 	 7 	 3 	 2 	 6298.09 	 6298.42 	 0.00 	 1.99 
6 	 10 	 3 	 2 	 2 	 5555.16 	 5555.67 	 0.00 	 4.29 
6 	 10 	 5 	 2 	 2 	 6007.53 	 6007.53 	 0.00 	 2.58 
6 	 10 	 7 	 0 	 2 	 6327.00 	 6327.00 	 0.00 	 0.01 
6 	 10 	 7 	 1 	 2 	 6323.67 	 6323.67 	 0.00 	 1.65 
6 	 10 	 7 	 2 	 2 	 6323.67 	 6323.67 	 0.00 	 8.07 
6 	 10 	 7 	 3 	 2 	 6323.67 	 6323.67 	 0.00 	 3.92 
7 	 10 	 3 	 2 	 2 	 4691.45 	 4691.45 	 0.00 	 1.43 
7 	 10 	 5 	 2 	 2 	 5328.36 	 5328.36 	 0.00 	 1.16 
7 	 10 	 7 	 0 	 2 	 5832.00 	 5832.00 	 0.00 	 0.02 
7 	 10 	 7 	 1 	 2 	 5806.89 	 5806.94 	 0.00 	 2.27 
7 	 10 	 7 	 2 	 2 	 5806.64 	 5807.19 	 0.00 	 1.38 
7 	 10 	 7 	 3 	 2 	 5806.94 	 5806.94 	 0.00 	 26.15 
8 	 10 	 3 	 2 	 2 	 3933.30 	 3933.30 	 0.00 	 10.51 
8 	 10 	 5 	 2 	 2 	 4782.06 	 4782.06 	 0.00 	 1.33 
8 	 10 	 7 	 0 	 2 	 5353.00 	 5353.00 	 0.00 	 0.04 
8 	 10 	 7 	 1 	 2 	 5319.60 	 5320.01 	 0.00 	 2.26 
8 	 10 	 7 	 2 	 2 	 5319.78 	 5320.01 	 0.00 	 1.25 
