instance 	 n 	 Gamma 	 objval 
1 	 10 	 3 	 4573.00 
1 	 10 	 5 	 5053.00 
1 	 10 	 7 	 5369.00 
2 	 10 	 3 	 3804.00 
2 	 10 	 5 	 4431.00 
2 	 10 	 7 	 4847.00 
3 	 10 	 3 	 4600.00 
3 	 10 	 5 	 5545.00 
3 	 10 	 7 	 6076.00 
4 	 10 	 3 	 4783.00 
4 	 10 	 5 	 5596.00 
4 	 10 	 7 	 5662.00 
5 	 10 	 3 	 4925.00 
5 	 10 	 5 	 5913.00 
5 	 10 	 7 	 6360.00 
6 	 10 	 3 	 5721.00 
6 	 10 	 5 	 6033.00 
6 	 10 	 7 	 6327.00 
7 	 10 	 3 	 4725.00 
7 	 10 	 5 	 5656.00 
7 	 10 	 7 	 5847.00 
8 	 10 	 3 	 4261.00 
8 	 10 	 5 	 5000.00 
8 	 10 	 7 	 5745.00 
9 	 10 	 3 	 4044.00 
9 	 10 	 5 	 4633.00 
9 	 10 	 7 	 4944.00 
10 	 10 	 3 	 2545.00 
10 	 10 	 5 	 3110.00 
10 	 10 	 7 	 3577.00 
11 	 10 	 3 	 4086.00 
11 	 10 	 5 	 4930.00 
11 	 10 	 7 	 5294.00 
12 	 10 	 3 	 3696.00 
12 	 10 	 5 	 4042.00 
12 	 10 	 7 	 4398.00 
13 	 10 	 3 	 4822.00 
13 	 10 	 5 	 6212.00 
13 	 10 	 7 	 6600.00 
14 	 10 	 3 	 3083.00 
14 	 10 	 5 	 3348.00 
14 	 10 	 7 	 3520.00 
15 	 10 	 3 	 5029.00 
15 	 10 	 5 	 5343.00 
15 	 10 	 7 	 5551.00 
16 	 10 	 3 	 3658.00 
16 	 10 	 5 	 4189.00 
16 	 10 	 7 	 4519.00 
17 	 10 	 3 	 4101.00 
17 	 10 	 5 	 4527.00 
17 	 10 	 7 	 4817.00 
18 	 10 	 3 	 4790.00 
18 	 10 	 5 	 5591.00 
18 	 10 	 7 	 5936.00 
19 	 10 	 3 	 2720.00 
19 	 10 	 5 	 3351.00 
