instance 	 n 	 Gamma 	 Delta 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
1 	 10 	 3 	 2 	 2 	 4452.87 	 4452.87 	 0.0000 	 1.44 
1 	 10 	 5 	 2 	 2 	 4985.21 	 4985.21 	 0.0000 	 1.69 
1 	 10 	 7 	 0 	 2 	 5369.00 	 5369.00 	 0.0000 	 0.01 
1 	 10 	 7 	 1 	 2 	 5369.00 	 5369.00 	 0.0000 	 2.34 
1 	 10 	 7 	 2 	 2 	 5369.00 	 5369.00 	 0.0000 	 1.53 
1 	 10 	 7 	 3 	 2 	 5369.00 	 5369.00 	 0.0000 	 1.65 
2 	 10 	 3 	 2 	 2 	 3526.25 	 3526.25 	 0.0000 	 12.39 
2 	 10 	 5 	 2 	 2 	 4374.52 	 4374.52 	 0.0000 	 6.67 
2 	 10 	 7 	 0 	 2 	 4847.00 	 4847.00 	 0.0000 	 0.01 
2 	 10 	 7 	 1 	 2 	 4847.00 	 4847.00 	 0.0000 	 1.50 
2 	 10 	 7 	 2 	 2 	 4847.00 	 4847.00 	 0.0000 	 1.43 
2 	 10 	 7 	 3 	 2 	 4847.00 	 4847.00 	 0.0000 	 1.58 
3 	 10 	 3 	 2 	 2 	 4499.25 	 4499.25 	 0.0000 	 10.35 
3 	 10 	 5 	 2 	 2 	 5285.12 	 5285.12 	 0.0000 	 4.70 
3 	 10 	 7 	 0 	 2 	 5954.00 	 5954.00 	 0.0000 	 0.02 
3 	 10 	 7 	 1 	 2 	 5877.30 	 5877.30 	 0.0000 	 2.04 
3 	 10 	 7 	 2 	 2 	 5877.30 	 5877.30 	 0.0000 	 1.81 
3 	 10 	 7 	 3 	 2 	 5877.30 	 5877.82 	 0.0001 	 1.65 
4 	 10 	 3 	 2 	 2 	 4323.06 	 4323.29 	 0.0001 	 13.54 
4 	 10 	 5 	 2 	 2 	 5006.01 	 5006.01 	 0.0000 	 6.50 
4 	 10 	 7 	 0 	 2 	 5640.00 	 5640.00 	 0.0000 	 0.02 
4 	 10 	 7 	 1 	 2 	 5582.51 	 5582.51 	 0.0000 	 2.72 
4 	 10 	 7 	 2 	 2 	 5582.51 	 5582.51 	 0.0000 	 2.06 
4 	 10 	 7 	 3 	 2 	 5582.51 	 5582.51 	 0.0000 	 9.25 
5 	 10 	 3 	 2 	 2 	 4721.38 	 4721.38 	 0.0000 	 22.95 
5 	 10 	 5 	 2 	 2 	 5578.36 	 5578.36 	 0.0000 	 10.89 
