instance 	 n 	 Gamma 	 Delta 	 K 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
1 	 10 	 3 	 2 	 2 	 9 	  0.00 	 4461.88 	 1.0000 	 600.01 
1 	 10 	 5 	 2 	 2 	 9 	  0.00 	 4985.86 	 1.0000 	 600.03 
1 	 10 	 7 	 0 	 2 	 2 	  5369.00 	 5369.00 	 0.0000 	 0.16 
1 	 10 	 7 	 1 	 2 	 9 	  0.00 	 5369.00 	 1.0000 	 600.01 
1 	 10 	 7 	 2 	 2 	 9 	  0.00 	 5369.00 	 1.0000 	 600.01 
1 	 10 	 7 	 3 	 2 	 9 	  0.00 	 5369.00 	 1.0000 	 600.02 
2 	 10 	 3 	 2 	 2 	 9 	  0.00 	 3534.21 	 1.0000 	 600.01 
2 	 10 	 5 	 2 	 2 	 9 	  0.00 	 4377.45 	 1.0000 	 600.02 
2 	 10 	 7 	 0 	 2 	 2 	  4847.00 	 4847.00 	 0.0000 	 0.15 
2 	 10 	 7 	 1 	 2 	 9 	  0.00 	 4847.00 	 1.0000 	 600.02 
2 	 10 	 7 	 2 	 2 	 9 	  0.00 	 4847.00 	 1.0000 	 600.01 
2 	 10 	 7 	 3 	 2 	 9 	  0.00 	 4847.00 	 1.0000 	 600.01 
3 	 10 	 3 	 2 	 2 	 9 	  0.00 	 4511.49 	 1.0000 	 600.01 
3 	 10 	 5 	 2 	 2 	 9 	  0.00 	 5301.10 	 1.0000 	 600.01 
3 	 10 	 7 	 0 	 2 	 2 	  5954.00 	 5954.00 	 0.0000 	 0.66 
3 	 10 	 7 	 1 	 2 	 9 	  0.00 	 5887.07 	 1.0000 	 600.01 
3 	 10 	 7 	 2 	 2 	 9 	  0.00 	 5888.09 	 1.0000 	 600.01 
3 	 10 	 7 	 3 	 2 	 9 	  0.00 	 5890.33 	 1.0000 	 600.04 
4 	 10 	 3 	 2 	 2 	 9 	  0.00 	 4348.95 	 1.0000 	 600.02 
4 	 10 	 5 	 2 	 2 	 9 	  0.00 	 5023.66 	 1.0000 	 600.02 
4 	 10 	 7 	 0 	 2 	 2 	  5640.00 	 5640.00 	 0.0000 	 0.36 
4 	 10 	 7 	 1 	 2 	 9 	  0.00 	 5589.56 	 1.0000 	 600.02 
4 	 10 	 7 	 2 	 2 	 9 	  0.00 	 5589.56 	 1.0000 	 600.01 
4 	 10 	 7 	 3 	 2 	 9 	  0.00 	 5589.56 	 1.0000 	 600.01 
5 	 10 	 3 	 2 	 2 	 9 	  0.00 	 4733.40 	 1.0000 	 600.01 
5 	 10 	 5 	 2 	 2 	 9 	  0.00 	 5603.07 	 1.0000 	 600.02 
5 	 10 	 7 	 0 	 2 	 2 	  6342.00 	 6342.00 	 0.0000 	 0.27 
5 	 10 	 7 	 1 	 2 	 9 	  0.00 	 6300.07 	 1.0000 	 600.02 
5 	 10 	 7 	 2 	 2 	 9 	  0.00 	 6301.77 	 1.0000 	 600.02 
5 	 10 	 7 	 3 	 2 	 9 	  0.00 	 6303.03 	 1.0000 	 600.02 
6 	 10 	 3 	 2 	 2 	 9 	  0.00 	 5560.93 	 1.0000 	 600.01 
6 	 10 	 5 	 2 	 2 	 9 	  0.00 	 6007.52 	 1.0000 	 600.01 
6 	 10 	 7 	 0 	 2 	 2 	  6327.00 	 6327.00 	 0.0000 	 0.14 
6 	 10 	 7 	 1 	 2 	 9 	  0.00 	 6323.66 	 1.0000 	 600.08 
6 	 10 	 7 	 2 	 2 	 9 	  0.00 	 6323.66 	 1.0000 	 600.01 
6 	 10 	 7 	 3 	 2 	 9 	  0.00 	 6323.67 	 1.0000 	 600.10 
7 	 10 	 3 	 2 	 2 	 9 	  0.00 	 4698.89 	 1.0000 	 600.02 
7 	 10 	 5 	 2 	 2 	 9 	  0.00 	 5338.41 	 1.0000 	 600.02 
7 	 10 	 7 	 0 	 2 	 2 	  5832.00 	 5832.00 	 0.0000 	 0.23 
7 	 10 	 7 	 1 	 2 	 9 	  0.00 	 5809.16 	 1.0000 	 600.03 
7 	 10 	 7 	 2 	 2 	 9 	  0.00 	 5809.16 	 1.0000 	 600.02 
7 	 10 	 7 	 3 	 2 	 9 	  0.00 	 5809.17 	 1.0000 	 600.05 
8 	 10 	 3 	 2 	 2 	 9 	  0.00 	 3936.54 	 1.0000 	 600.01 
8 	 10 	 5 	 2 	 2 	 9 	  0.00 	 4783.69 	 1.0000 	 600.01 
8 	 10 	 7 	 0 	 2 	 2 	  5353.00 	 5353.00 	 0.0000 	 0.40 
8 	 10 	 7 	 1 	 2 	 9 	  0.00 	 5328.79 	 1.0000 	 600.01 
8 	 10 	 7 	 2 	 2 	 9 	  0.00 	 5326.21 	 1.0000 	 600.01 
8 	 10 	 7 	 3 	 2 	 9 	  0.00 	 5322.94 	 1.0000 	 600.02 
9 	 10 	 3 	 2 	 2 	 9 	  0.00 	 3936.81 	 1.0000 	 600.02 
9 	 10 	 5 	 2 	 2 	 9 	  0.00 	 4433.74 	 1.0000 	 600.01 
9 	 10 	 7 	 0 	 2 	 2 	  4939.00 	 4939.00 	 0.0000 	 0.38 
9 	 10 	 7 	 1 	 2 	 9 	  0.00 	 4896.91 	 1.0000 	 600.01 
9 	 10 	 7 	 2 	 2 	 9 	  0.00 	 4896.91 	 1.0000 	 600.02 
9 	 10 	 7 	 3 	 2 	 9 	  0.00 	 4898.61 	 1.0000 	 600.03 
10 	 10 	 3 	 2 	 2 	 9 	  0.00 	 2434.46 	 1.0000 	 600.02 
