instance 	 n 	 Gamma 	 l 	 objval 
1 	 10 	 3 	 1 	 4531.00 
1 	 10 	 5 	 1 	 5021.00 
1 	 10 	 7 	 1 	 5377.00 
2 	 10 	 3 	 1 	 3715.00 
2 	 10 	 5 	 1 	 4467.00 
2 	 10 	 7 	 1 	 4847.00 
3 	 10 	 3 	 1 	 4752.00 
3 	 10 	 5 	 1 	 5486.00 
3 	 10 	 7 	 1 	 5984.00 
4 	 10 	 3 	 1 	 4435.00 
4 	 10 	 5 	 1 	 5130.00 
4 	 10 	 7 	 1 	 5673.00 
5 	 10 	 3 	 1 	 4801.00 
5 	 10 	 5 	 1 	 5737.00 
5 	 10 	 7 	 1 	 6362.00 
6 	 10 	 3 	 1 	 5677.00 
6 	 10 	 5 	 1 	 6057.00 
6 	 10 	 7 	 1 	 6349.00 
7 	 10 	 3 	 1 	 4812.00 
7 	 10 	 5 	 1 	 5376.00 
7 	 10 	 7 	 1 	 5865.00 
8 	 10 	 3 	 1 	 4049.00 
8 	 10 	 5 	 1 	 4836.00 
8 	 10 	 7 	 1 	 5377.00 
9 	 10 	 3 	 1 	 4009.00 
9 	 10 	 5 	 1 	 4548.00 
9 	 10 	 7 	 1 	 4988.00 
10 	 10 	 3 	 1 	 2568.00 
10 	 10 	 5 	 1 	 3129.00 
10 	 10 	 7 	 1 	 3584.00 
11 	 10 	 3 	 1 	 4008.00 
11 	 10 	 5 	 1 	 4744.00 
11 	 10 	 7 	 1 	 5301.00 
12 	 10 	 3 	 1 	 3538.00 
12 	 10 	 5 	 1 	 4035.00 
12 	 10 	 7 	 1 	 4398.00 
13 	 10 	 3 	 1 	 4747.00 
13 	 10 	 5 	 1 	 5747.00 
13 	 10 	 7 	 1 	 6373.00 
14 	 10 	 3 	 1 	 3103.00 
14 	 10 	 5 	 1 	 3334.00 
14 	 10 	 7 	 1 	 3523.00 
15 	 10 	 3 	 1 	 4852.00 
15 	 10 	 5 	 1 	 5254.00 
15 	 10 	 7 	 1 	 5564.00 
16 	 10 	 3 	 1 	 3530.00 
16 	 10 	 5 	 1 	 4049.00 
16 	 10 	 7 	 1 	 4517.00 
17 	 10 	 3 	 1 	 4079.00 
17 	 10 	 5 	 1 	 4501.00 
17 	 10 	 7 	 1 	 4837.00 
18 	 10 	 3 	 1 	 4617.00 
18 	 10 	 5 	 1 	 5323.00 
18 	 10 	 7 	 1 	 5872.00 
19 	 10 	 3 	 1 	 2720.00 
19 	 10 	 5 	 1 	 3355.00 
19 	 10 	 7 	 1 	 3755.00 
20 	 10 	 3 	 1 	 2671.00 
20 	 10 	 5 	 1 	 3273.00 
20 	 10 	 7 	 1 	 3563.00 
1 	 15 	 3 	 1 	 8679.00 
1 	 15 	 5 	 1 	 9797.00 
1 	 15 	 7 	 1 	 10518.00 
2 	 15 	 3 	 1 	 7605.00 
2 	 15 	 5 	 1 	 8802.00 
2 	 15 	 7 	 1 	 9742.00 
3 	 15 	 3 	 1 	 8141.00 
3 	 15 	 5 	 1 	 9397.00 
3 	 15 	 7 	 1 	 10438.00 
4 	 15 	 3 	 1 	 10982.00 
4 	 15 	 5 	 1 	 11866.00 
4 	 15 	 7 	 1 	 12527.00 
5 	 15 	 3 	 1 	 8122.00 
5 	 15 	 5 	 1 	 9552.00 
5 	 15 	 7 	 1 	 10383.00 
6 	 15 	 3 	 1 	 7928.00 
6 	 15 	 5 	 1 	 8846.00 
6 	 15 	 7 	 1 	 9585.00 
7 	 15 	 3 	 1 	 5625.00 
7 	 15 	 5 	 1 	 6855.00 
7 	 15 	 7 	 1 	 7826.00 
8 	 15 	 3 	 1 	 6363.00 
8 	 15 	 5 	 1 	 7246.00 
8 	 15 	 7 	 1 	 7871.00 
9 	 15 	 3 	 1 	 7115.00 
9 	 15 	 5 	 1 	 8286.00 
9 	 15 	 7 	 1 	 9406.00 
10 	 15 	 3 	 1 	 8698.00 
10 	 15 	 5 	 1 	 9246.00 
10 	 15 	 7 	 1 	 9644.00 
11 	 15 	 3 	 1 	 7853.00 
11 	 15 	 5 	 1 	 8870.00 
11 	 15 	 7 	 1 	 9788.00 
12 	 15 	 3 	 1 	 7371.00 
12 	 15 	 5 	 1 	 8205.00 
12 	 15 	 7 	 1 	 8810.00 
13 	 15 	 3 	 1 	 4999.00 
13 	 15 	 5 	 1 	 5979.00 
13 	 15 	 7 	 1 	 6757.00 
14 	 15 	 3 	 1 	 6587.00 
14 	 15 	 5 	 1 	 7660.00 
14 	 15 	 7 	 1 	 8422.00 
15 	 15 	 3 	 1 	 6309.00 
15 	 15 	 5 	 1 	 7230.00 
15 	 15 	 7 	 1 	 8045.00 
16 	 15 	 3 	 1 	 6650.00 
16 	 15 	 5 	 1 	 7312.00 
16 	 15 	 7 	 1 	 7924.00 
17 	 15 	 3 	 1 	 6370.00 
17 	 15 	 5 	 1 	 7206.00 
17 	 15 	 7 	 1 	 7888.00 
18 	 15 	 3 	 1 	 8400.00 
18 	 15 	 5 	 1 	 9262.00 
18 	 15 	 7 	 1 	 9949.00 
19 	 15 	 3 	 1 	 8502.00 
19 	 15 	 5 	 1 	 9371.00 
19 	 15 	 7 	 1 	 10140.00 
20 	 15 	 3 	 1 	 6758.00 
20 	 15 	 5 	 1 	 7676.00 
20 	 15 	 7 	 1 	 8478.00 
1 	 20 	 3 	 1 	 12440.00 
1 	 20 	 5 	 1 	 13938.00 
1 	 20 	 7 	 1 	 15205.00 
2 	 20 	 3 	 1 	 13645.00 
2 	 20 	 5 	 1 	 15390.00 
2 	 20 	 7 	 1 	 16697.00 
3 	 20 	 3 	 1 	 16790.00 
