,,,,,solve_time,
n, Gamma, Delta, obj_val, best_bound,with,without
10,0,3,3816,3816,2.15,5.267
10,0,3,4020,4020,4.68,4.475
10,0,3,4837,4837,5.286,6.878
10,0,3,4471,4471,7.462,3.174
10,0,3,4445,4445,3.272,5.233
10,0,3,3423,3423,2.07,6.262
10,0,3,5229,5229,10.448,4.202
10,0,3,3907,3907,2.763,4.351
10,0,3,4236,4236,5.718,10.651
10,0,3,4695,4695,3.739,3.091
10,0,5,4503,4503,4.181,4.443
10,0,5,4404,4404,2.402,6.705
10,0,5,5538,5538,3.423,4.8
10,0,5,5056,5056,4.532,4.534
10,0,5,5126,5126,2.869,5.612
10,0,5,4100,4100,5.404,5.591
10,0,5,5926,5926,5.568,4.675
10,0,5,5054,5054,10.172,8.637
10,0,5,4971,4971,9.734,3.823
10,0,5,5241,5241,2.634,4.839
10,0,7,5087,5086.730403,1.725,5.129
10,0,7,4692,4692,2.494,2.214
10,0,7,5999,5999,3.347,10.84
10,0,7,5409,5409,5.191,3.932
10,0,7,5670,5670,10.925,3.029
10,0,7,4546,4546,2.212,2.564
10,0,7,6435,6435,7.219,3.7
10,0,7,5883,5883,6.942,10.214
10,0,7,5579,5579,7.619,6.053
10,0,7,5659,5659,3.512,2.76
